bottle,trial,propertyType,property
10,1,e0,0.2119296859569425
10,1,c0,0.0797755038742439
10,1,s0,0.0517578125
10,1,e1,0.1902034366976101
10,1,c1,0.1380330400796867
10,1,s1,0.056640625
10,2,e0,0.11218645072091644
10,2,c0,-0.02857142857142858
10,2,s0,0.0341796875
10,2,e1,0.19711633418921587
10,2,c1,0.10770257264259038
10,2,s1,0.0380859375
10,3,e0,0.16255184673118703
10,3,c0,0.15265390060216166
10,3,s0,0.021484375
10,3,e1,0.15366383567055106
10,3,c1,-0.02857142857142858
10,3,s1,0.0302734375
10,4,e0,0.08947264467706892
10,4,c0,0.20000000000000004
10,4,s0,0.04296875
10,4,e1,0.17637764171439857
10,4,c1,0.12798350542988288
10,4,s1,0.033203125
10,5,e0,0.10922378036737111
10,5,c0,-0.02857142857142858
10,5,s0,0.03515625
10,5,e1,0.1694647442227928
10,5,c1,0.18878768174749158
10,5,s1,0.015625
10,6,e0,0.13095002962670352
10,6,c0,-0.02857142857142858
10,6,s0,0.0556640625
10,6,e1,0.16255184673118703
10,6,c1,0.04038568555863342
10,6,s1,0.0263671875
10,7,e0,0.12798735927315819
10,7,c0,-0.02857142857142858
10,7,s0,0.0302734375
10,7,e1,0.1595891763776417
10,7,c1,0.05179923911605452
10,7,s1,0.04296875
10,8,e0,0.12107446178155243
10,8,c0,0.12845238702568515
10,8,s0,0.0546875
10,8,e1,0.09638554216867469
10,8,c1,-0.02857142857142858
10,8,s1,0.033203125
10,9,e0,0.16156428994667194
10,9,c0,-0.02857142857142858
10,9,s0,0.0498046875
10,9,e1,0.1497136085324906
10,9,c1,-0.02857142857142858
10,9,s1,0.0498046875
10,10,e0,0.11514912107446178
10,10,c0,0.16625773796468657
10,10,s0,0.029296875
10,10,e1,0.11119889393640134
10,10,c1,-0.02857142857142858
10,10,s1,0.0556640625
10,11,e0,0.1497136085324906
10,11,c0,0.09650985482468488
10,11,s0,0.0341796875
10,11,e1,0.20699190203436696
10,11,c1,0.11923476555560217
10,11,s1,0.0419921875
10,12,e0,0.10329843966028046
10,12,c0,-0.02857142857142858
10,12,s0,0.0703125
10,12,e1,0.16156428994667194
10,12,c1,0.059247139701958766
10,12,s1,0.0361328125
10,13,e0,0.1773651984989137
10,13,c0,0.10881910987362127
10,13,s0,0.029296875
10,13,e1,0.10922378036737111
10,13,c1,0.1552127134324167
10,13,s1,0.0654296875
10,14,e0,0.09539798538415958
10,14,c0,0.07379954713441479
10,14,s0,0.05859375
10,14,e1,0.14378826782539994
10,14,c1,-0.02857142857142858
10,14,s1,0.0546875
10,15,e0,0.2099545723879123
10,15,c0,0.16890598415250327
10,15,s0,0.0458984375
10,15,e1,0.16156428994667194
10,15,c1,-0.001055072204084882
10,15,s1,0.0185546875
10,16,e0,0.20699190203436696
10,16,c0,0.06124931404587971
10,16,s0,0.0234375
10,16,e1,0.0874975311080387
10,16,c1,-0.02857142857142858
10,16,s1,0.037109375
10,17,e0,0.15366383567055106
10,17,c0,0.19243329939182616
10,17,s0,0.0283203125
10,17,e1,0.06873395220225162
10,17,c1,-0.02857142857142858
10,17,s1,0.0166015625
10,18,e0,0.09934821252222002
10,18,c0,0.1337053947996742
10,18,s0,0.0302734375
10,18,e1,0.07564684969385739
10,18,c1,0.08571428571428567
10,18,s1,0.029296875
10,19,e0,0.23563104878530514
10,19,c0,0.11739346455880324
10,19,s0,0.0380859375
10,19,e1,0.2000790045427612
10,19,c1,0.1277269746048984
10,19,s1,0.044921875
10,20,e0,0.1388504839028244
10,20,c0,0.110094813401275
10,20,s0,0.033203125
10,20,e1,0.18526565277503457
10,20,c1,0.16685520637120455
10,20,s1,0.03125
10,21,e0,0.12008690499703732
10,21,c0,0.07235775067276407
10,21,s0,0.0400390625
10,21,e1,0.1269998024886431
10,21,c1,0.20520625372918655
10,21,s1,0.0498046875
10,22,e0,0.16650207386924748
10,22,c0,-0.02857142857142858
10,22,s0,0.0439453125
10,22,e1,0.09934821252222002
10,22,c1,-0.02857142857142858
10,22,s1,0.0302734375
10,23,e0,0.08058463361643294
10,23,c0,-0.02857142857142858
10,23,s0,0.0380859375
10,23,e1,0.11712423464349199
10,23,c1,0.07585056599093398
10,23,s1,0.0224609375
10,24,e0,0.13095002962670352
10,24,c0,-0.02857142857142858
10,24,s0,0.0439453125
10,24,e1,0.15168872210152082
10,24,c1,0.021773842627971583
10,24,s1,0.0341796875
10,25,e0,0.12206201856606753
10,25,c0,-0.02857142857142858
10,25,s0,0.041015625
10,25,e1,0.13983804068733952
10,25,c1,0.10364937336961245
10,25,s1,0.03515625
