bottle,trial,propertyType,property
90,1,e0,0.997037402789779
90,1,c0,0.9952574104102129
90,1,s0,0.90234375
90,1,e1,0.9901246759659301
90,1,c1,0.987308883246692
90,1,s1,0.990234375
90,2,e0,0.49438340945562276
90,2,c0,0.48979632967191067
90,2,s0,0.583984375
90,2,e1,1.0
90,2,c1,1.0
90,2,s1,0.9326171875
90,3,e0,0.998024935193186
90,3,c0,1.0
90,3,s0,0.916015625
90,3,e1,1.0
90,3,c1,1.0
90,3,s1,0.9912109375
90,4,e0,0.5664732749043327
90,4,c0,0.7007803676132808
90,4,s0,0.490234375
90,4,e1,1.0
90,4,c1,1.0
90,4,s1,0.998046875
90,5,e0,1.0
90,5,c0,1.0
90,5,s0,0.9814453125
90,5,e1,1.0
90,5,c1,1.0
90,5,s1,0.9658203125
90,6,e0,1.0
90,6,c0,1.0
90,6,s0,0.9931640625
90,6,e1,1.0
90,6,c1,1.0
90,6,s1,1.0
90,7,e0,0.9891371435625231
90,7,c0,0.9907865876033636
90,7,s0,0.9658203125
90,7,e1,1.0
90,7,c1,1.0
90,7,s1,0.9970703125
90,8,e0,1.0
90,8,c0,1.0
90,8,s0,1.0
90,8,e1,0.997037402789779
90,8,c1,0.9939679113269196
90,8,s1,0.9970703125
90,9,e0,0.9713615603011974
90,9,c0,0.6821816319790924
90,9,s0,0.9150390625
90,9,e1,1.0
90,9,c1,1.0
90,9,s1,1.0
90,10,e0,1.0
90,10,c0,1.0
90,10,s0,1.0
90,10,e1,1.0
90,10,c1,1.0
90,10,s1,0.99609375
90,11,e0,0.4904332798419948
90,11,c0,0.6337563161327693
90,11,s0,0.5888671875
90,11,e1,1.0
90,11,c1,1.0
90,11,s1,1.0
90,12,e0,1.0
90,12,c0,1.0
90,12,s0,0.9990234375
90,12,e1,1.0
90,12,c1,1.0
90,12,s1,1.0
90,13,e0,1.0
90,13,c0,1.0
90,13,s0,1.0
90,13,e1,1.0
90,13,c1,1.0
90,13,s1,0.984375
90,14,e0,1.0
90,14,c0,1.0
90,14,s0,0.9970703125
90,14,e1,0.92791013455129
90,14,c1,0.9130282549522982
90,14,s1,0.9267578125
90,15,e0,1.0
90,15,c0,1.0
90,15,s0,1.0
90,15,e1,0.999012467596593
90,15,c1,0.9976287052051064
90,15,s1,0.9921875
90,16,e0,0.624737686705345
90,16,c0,0.8837209302325582
90,16,s0,0.6806640625
90,16,e1,1.0
90,16,c1,1.0
90,16,s1,0.9990234375
90,17,e0,1.0
90,17,c0,1.0
90,17,s0,1.0
90,17,e1,0.998024935193186
90,17,c1,0.9957122667146661
90,17,s1,0.998046875
90,18,e0,0.996049870386372
90,18,c0,0.9928861156153193
90,18,s0,0.99609375
90,18,e1,1.0
90,18,c1,1.0
90,18,s1,0.9970703125
90,19,e0,0.999012467596593
90,19,c0,0.9976287052051064
90,19,s0,0.9990234375
90,19,e1,1.0
90,19,c1,1.0
90,19,s1,0.9970703125
90,20,e0,1.0
90,20,c0,1.0
90,20,s0,0.9990234375
90,20,e1,1.0
90,20,c1,1.0
90,20,s1,0.994140625
90,21,e0,0.9920997407727441
90,21,c0,0.9923355334484603
90,21,s0,0.9921875
90,21,e1,0.998024935193186
90,21,c1,1.0
90,21,s1,0.9912109375
90,22,e0,0.9476607826194297
90,22,c0,0.9648051778881849
90,22,s0,0.65234375
90,22,e1,0.999012467596593
90,22,c1,0.9976287052051064
90,22,s1,0.9990234375
90,23,e0,0.9585236390569065
90,23,c0,0.9711487193740294
90,23,s0,0.4443359375
90,23,e1,1.0
90,23,c1,1.0
90,23,s1,0.9990234375
90,24,e0,0.9930872731761511
90,24,c0,0.9976287052051064
90,24,s0,0.880859375
90,24,e1,0.997037402789779
90,24,c1,0.9957122667146661
90,24,s1,0.9970703125
90,25,e0,1.0
90,25,c0,1.0
90,25,s0,1.0
90,25,e1,1.0
90,25,c1,1.0
90,25,s1,1.0
