bottle,trial,propertyType,property
100,1,e0,0.5601144097050991
100,1,c0,0.661535179601719
100,1,s0,0.22164168172274035
100,1,e1,0.933918532399645
100,1,c1,0.9310642992456476
100,1,s1,0.9111284730699741
100,2,e0,0.5916757076634777
100,2,c0,0.5278858077498608
100,2,s0,0.15327896869964353
100,2,e1,0.8806588420948811
100,2,c1,0.8815684380556683
100,2,s1,0.6493969432101176
100,3,e0,0.44767728572837556
100,3,c0,0.3771259112001681
100,3,s0,0.1337467649787587
100,3,e1,0.850083834697702
100,3,c1,0.8698417620665201
100,3,s1,0.6396308413496753
100,4,e0,0.344116776802446
100,4,c0,0.40657149320865515
100,4,s0,0.08882269642072367
100,4,e1,0.9033435250024657
100,4,c1,0.9381747224934454
100,4,s1,0.8632745739538064
100,5,e0,0.4042805010356051
100,5,c0,0.4241924781813082
100,5,s0,0.15620879925777625
100,5,e1,0.9575895058684288
100,5,c1,0.9822087026144164
100,5,s1,0.898432540651399
100,6,e0,0.45162244797317286
100,6,c0,0.40160601547736874
100,6,s0,0.10933151032765272
100,6,e1,0.9299733701548476
100,6,c1,0.923688740457383
100,6,s1,0.7841691488842228
100,7,e0,0.6617023375086301
100,7,c0,0.5432494490065127
100,7,s0,0.4179403291176327
100,7,e1,0.850083834697702
100,7,c1,0.8498428818089284
100,7,s1,0.7587772840470727
100,8,e0,0.5186902061347273
100,8,c0,0.6360093672016945
100,8,s0,0.18160066409492648
100,8,e1,0.9615346681132262
100,8,c1,0.9852268947380771
100,8,s1,0.8691342350700718
100,9,e0,0.3480619390472433
100,9,c0,0.39007642275817656
100,9,s0,0.14644269739733384
100,9,e1,0.7820297859749482
100,9,c1,0.8765117854513751
100,9,s1,0.7060403340006837
100,10,e0,0.38948614261761516
100,10,c0,0.377070342886093
100,10,s0,0.07222032325797158
100,10,e1,0.5611007002662984
100,10,c1,0.6790206497671885
100,10,s1,0.49704575418721614
100,11,e0,0.6183055528158595
100,11,c0,0.7524464085187446
100,11,s0,0.2694955808389081
100,11,e1,0.814577374494526
100,11,c1,0.7969492519305138
100,11,s1,0.5068118560476585
100,12,e0,0.2612683696617023
100,12,c0,0.3246419975862632
100,12,s0,0.029249475072024998
100,12,e1,0.8550152875036986
100,12,c1,0.8747526696960578
100,12,s1,0.8486254211631428
100,13,e0,0.4585264819015682
100,13,c0,0.5521259541208915
100,13,s0,0.09663557790907759
100,13,e1,0.82345398954532
100,13,c1,0.8438798453866078
100,13,s1,0.7978416914888422
100,14,e0,0.2908570864976822
100,14,c0,0.2761049480886989
100,14,s0,0.06831388251379462
100,14,e1,0.9003846533188677
100,14,c1,0.9320696308459668
100,14,s1,0.8730406758142487
100,15,e0,0.5236216589407239
100,15,c0,0.5779855661850063
100,15,s0,0.16109185018799743
100,15,e1,0.8057007594437321
100,15,c1,0.8941813846500538
100,15,s1,0.6357244006054983
100,16,e0,0.4782522931255548
100,16,c0,0.5182028106071619
100,16,s0,0.12984032423458175
100,16,e1,0.8717822270440871
100,16,c1,0.9248288361841048
100,16,s1,0.6777186386054007
100,17,e0,0.4210474405759937
100,17,c0,0.41801892991989514
100,17,s0,0.05464133990917525
100,17,e1,0.8629056119932932
100,17,c1,0.853796753095426
100,17,s1,0.7070169441867279
100,18,e0,0.5354571456751159
100,18,c0,0.5156827350946844
100,18,s0,0.33102202255969526
100,18,e1,0.9398362757668409
100,18,c1,0.9427009127958123
100,18,s1,0.8769471165584257
100,19,e0,0.6094289377650656
100,19,c0,0.6481644282857747
100,19,s0,0.4120806680013672
100,19,e1,0.8648781931156919
100,19,c1,0.8831522800591799
100,19,s1,0.6327945700473656
100,20,e0,0.46641680639116284
100,20,c0,0.6339620309055545
100,20,s0,0.08198642511841399
100,20,e1,0.9181378834204557
100,20,c1,0.9318722183673559
100,20,s1,0.7558474534889399
100,21,e0,0.2494328829273104
100,21,c0,0.3850616386464486
100,21,s0,0.027296254699936517
100,21,e1,0.8540289969424992
100,21,c1,0.8574724326739536
100,21,s1,0.7597538942331169
100,22,e0,0.37962323700562184
100,22,c0,0.606396409554587
100,22,s0,0.06733727232775037
100,22,e1,0.9181378834204557
100,22,c1,0.9279353722515593
100,22,s1,0.8085844035353289
100,23,e0,0.7248249334253871
100,23,c0,0.7239399723836125
100,23,s0,0.5439230431173397
100,23,e1,0.9043298155636651
100,23,c1,0.9317782863344259
100,23,s1,0.7529176229308072
100,24,e0,0.598579741591873
100,24,c0,0.6680660896299963
100,24,s0,0.33102202255969526
100,24,e1,0.8954532005128711
100,24,c1,0.9022349000254242
100,24,s1,0.7753796572098247
100,25,e0,0.3480619390472433
100,25,c0,0.3512006312008458
100,25,s0,0.04585184823477709
100,25,e1,0.8165499556169248
100,25,c1,0.8262797206508834
100,25,s1,0.6728355876751795
