generation,trial,propertyType,property
50,-1,m,-1.0
1,10,e,-0.00018937195706754457
1,10,c,-0.023890784982935176
1,10,s,3.0517578125e-5
2,10,e,0.2961777408536399
2,10,c,0.43886319902995835
2,10,s,0.000213623046875
3,10,e,0.41984984636436384
3,10,c,0.6689339575940495
3,10,s,0.02703857421875
4,10,e,0.5820683082975461
4,10,c,0.7747449604698433
4,10,s,0.221832275390625
5,10,e,0.7942259879412825
5,10,c,0.8208321144766644
5,10,s,0.4437103271484375
6,10,e,0.792225364846456
6,10,c,0.9077046809519631
6,10,s,0.3299560546875
7,10,e,0.9658825038637988
7,10,c,0.975431086296503
7,10,s,0.773223876953125
8,10,e,0.9477241766901447
8,10,c,0.9623740086106296
8,10,s,0.914093017578125
9,10,e,0.9648745563503748
9,10,c,0.9752778722207882
9,10,s,0.9146270751953125
10,10,e,0.9191656638097973
10,10,c,0.9492443853850887
10,10,s,0.8838958740234375
11,10,e,0.9622935998387284
11,10,c,0.9684533916001873
11,10,s,0.8823699951171875
12,10,e,0.9853847610553516
12,10,c,0.9940050455167678
12,10,s,0.9471282958984375
13,10,e,0.9974343154203752
13,10,c,0.9991282954331507
13,10,s,0.98309326171875
14,10,e,0.9828190764757267
14,10,c,0.9898871788767533
14,10,s,0.9802093505859375
15,10,e,0.9788789180141602
15,10,c,0.9829794861577681
15,10,s,0.9619140625
16,10,e,0.9859345506081283
16,10,c,0.9910358628976355
16,10,s,0.964813232421875
17,10,e,0.8453258724854764
17,10,c,0.9022992304554833
17,10,s,0.819671630859375
18,10,e,0.9849113311626827
18,10,c,0.991647221033104
18,10,s,0.8201446533203125
19,10,e,0.9711055046151779
19,10,c,0.9797008401276507
19,10,s,0.9564971923828125
20,10,e,0.9925167533094277
20,10,c,0.9933031972838691
20,10,s,0.963531494140625
21,10,e,0.9901190599820402
21,10,c,0.991137814394613
21,10,s,0.982666015625
22,10,e,0.9973426838282458
22,10,c,0.9971080948808285
22,10,s,0.9874725341796875
23,10,e,0.9963500082468433
23,10,c,0.9969788565732355
23,10,s,0.9936981201171875
24,10,e,0.9893096475848967
24,10,c,0.9922143540640487
24,10,s,0.98553466796875
25,10,e,0.9814751464578281
25,10,c,0.9835216270283264
25,10,s,0.9707183837890625
26,10,e,0.9926694726296434
26,10,c,0.9960621619298817
26,10,s,0.9741363525390625
27,10,e,0.9931123586582692
27,10,c,0.9955875052282871
27,10,s,0.9857940673828125
28,10,e,0.9920433234167588
28,10,c,0.9949056446826433
28,10,s,0.985107421875
29,10,e,0.9687841709478983
29,10,c,0.9797968003390726
29,10,s,0.96014404296875
30,10,e,0.9923182181931471
30,10,c,0.9953727577172388
30,10,s,0.960205078125
31,10,e,0.9896609020213929
31,10,c,0.9911954802897195
31,10,s,0.9819793701171875
32,10,e,0.9957544028980018
32,10,c,0.995232716083926
32,10,s,0.9854888916015625
33,10,e,0.9876908227906096
33,10,c,0.9910928796761691
33,10,s,0.983428955078125
34,10,e,0.9918447883004783
34,10,c,0.9930291932765756
34,10,s,0.97955322265625
35,10,e,0.9919669637566509
35,10,c,0.9951253786165102
35,10,s,0.983734130859375
36,10,e,0.9816431377100654
36,10,c,0.9837023068585936
36,10,s,0.973785400390625
37,10,e,0.9888820334882925
37,10,c,0.9947579424844166
37,10,s,0.9703521728515625
38,10,e,0.9748929437565288
38,10,c,0.9838542944269523
38,10,s,0.9633636474609375
39,10,e,0.9361022364217252
39,10,c,0.9591685127789965
39,10,s,0.91064453125
40,10,e,0.9728923206617023
40,10,c,0.9800707943301866
40,10,s,0.9089813232421875
41,10,e,0.9713651274595446
41,10,c,0.9842325774060147
41,10,s,0.9443817138671875
42,10,e,0.9938912271913696
42,10,c,0.996406020596785
42,10,s,0.96533203125
43,10,e,0.8493423906071509
43,10,c,0.9683487500569135
43,10,s,0.8333892822265625
44,10,e,0.9745722331840756
44,10,c,0.9825710820367693
44,10,s,0.8177642822265625
45,10,e,0.995494780053635
45,10,c,0.9959886587970511
45,10,s,0.9701080322265625
46,10,e,0.9975564908765479
46,10,c,0.9972979741251379
46,10,s,0.993072509765625
47,10,e,0.9836590327369135
47,10,c,0.9871541930823168
47,10,s,0.9810638427734375
48,10,e,0.8459978374944257
48,10,c,0.9281557170880755
48,10,s,0.8252410888671875
49,10,e,0.9472202029334327
49,10,c,0.9639900065056133
49,10,s,0.793304443359375
50,10,e,0.9911270074954642
50,10,c,0.9949209594796687
50,10,s,0.936737060546875
