reflection,trial,propertyType,property
100,1,e0,0.7213851701822852
100,1,c0,0.7826894235569529
100,1,s0,0.7060546875
100,1,e1,0.979252087141234
100,1,c1,0.9793278705341006
100,1,s1,0.9794921875
100,2,e0,0.531689966902139
100,2,c0,0.6718665425926985
100,2,s0,0.4248046875
100,2,e1,0.910092377612014
100,2,c1,0.9220993991027217
100,2,s1,0.900390625
100,3,e0,0.8942844440053351
100,3,c0,0.8882179356263619
100,3,s0,0.775390625
100,3,e1,0.8597045892407252
100,3,c1,0.8755510043915751
100,3,s1,0.85546875
100,4,e0,1.0
100,4,c0,1.0
100,4,s0,1.0
100,4,e1,0.7599170083485649
100,4,c1,0.8699159270849455
100,4,s1,0.51171875
100,5,e0,0.9733241120387295
100,5,c0,0.9659426006554946
100,5,s0,0.9404296875
100,5,e1,0.9782640912908166
100,5,c1,0.9769974292177164
100,5,s1,0.935546875
100,6,e0,0.9851800622437386
100,6,c0,0.9872299446375116
100,6,s0,0.9853515625
100,6,e1,0.9644321493849726
100,6,c1,0.9640097818276863
100,6,s1,0.921875
100,7,e0,0.993084029047078
100,7,c0,0.9934923134670504
100,7,s0,0.986328125
100,7,e1,0.9407202489749543
100,7,c1,0.9516069919676677
100,7,s1,0.828125
100,8,e0,0.4151064565528825
100,8,c0,0.5888992312965898
100,8,s0,0.36328125
100,8,e1,0.7638689917502346
100,8,c1,0.8314179860930323
100,8,s1,0.728515625
100,9,e0,0.9832040705429037
100,9,c0,0.9740350497165151
100,9,s0,0.962890625
100,9,e1,0.93084029047078
100,9,c1,0.9245621032405018
100,9,s1,0.90234375
100,10,e0,0.9772760954403992
100,10,c0,0.9763530449069593
100,10,s0,0.912109375
100,10,e1,0.9960480165983303
100,10,c1,0.9934923134670504
100,10,s1,0.9521484375
100,11,e0,0.9041644025095095
100,11,c0,0.9827835858595853
100,11,s0,0.8515625
100,11,e1,0.9841920663933211
100,11,c1,0.9917876025199345
100,11,s1,0.951171875
100,12,e0,0.951588203329546
100,12,c0,0.959384793180643
100,12,s0,0.9501953125
100,12,e1,0.9851800622437386
100,12,c1,0.980722258104562
100,12,s1,0.96484375
100,13,e0,0.45363829471916217
100,13,c0,0.544955201696427
100,13,s0,0.1572265625
100,13,e1,0.524773995949217
100,13,c1,0.7039633958181063
100,13,s1,0.3935546875
100,14,e0,0.9960480165983303
100,14,c0,0.9917876025199345
100,14,s0,0.9677734375
100,14,e1,0.8725485352961517
100,14,c1,0.8703722691915988
100,14,s1,0.55859375
100,15,e0,0.9407202489749543
100,15,c0,0.9381584029833884
100,15,s0,0.818359375
100,15,e1,0.7935088672627575
100,15,c1,0.9035886835475136
100,15,s1,0.576171875
100,16,e0,0.9812280788420689
100,16,c0,0.9811883074783636
100,16,s0,0.88671875
100,16,e1,0.621597589290125
100,16,c1,0.7263089857565108
100,16,s1,0.5009765625
100,17,e0,0.993084029047078
100,17,c0,1.0
100,17,s0,0.982421875
100,17,e1,0.9901200414958257
100,17,c1,0.9844877033476301
100,17,s1,0.96875
100,18,e0,0.9901200414958257
100,18,c0,0.9911749117356771
100,18,s0,0.990234375
100,18,e1,0.9466482240774589
100,18,c1,0.9297171272250534
100,18,s1,0.7939453125
100,19,e0,0.6314775477942992
100,19,c0,0.7118555941591729
100,19,s0,0.5234375
100,19,e1,0.37953860593785504
100,19,c1,0.6674611780743323
100,19,s1,0.2822265625
100,20,e0,0.9525761991799634
100,20,c0,0.9457359964848756
100,20,s0,0.9345703125
100,20,e1,0.9723361161883121
100,20,c1,0.9689911664668883
100,20,s1,0.8935546875
100,21,e0,0.9664081410858074
100,21,c0,0.9766388821370197
100,21,s0,0.921875
100,21,e1,0.9456602282270414
100,21,c1,0.9373738446914305
100,21,s1,0.9453125
100,22,e0,0.8033888257669318
100,22,c0,0.8583237103082103
100,22,s0,0.5537109375
100,22,e1,0.9802400829916514
100,22,c1,0.9660218531942089
100,22,s1,0.9794921875
100,23,e0,0.9594921701328855
100,23,c0,0.9660793196718706
100,23,s0,0.921875
100,23,e1,0.9950600207479129
100,23,c1,0.9909959833396508
100,23,s1,0.9609375
100,24,e0,0.9683841327866423
100,24,c0,0.9586095353763504
100,24,s0,0.9501953125
100,24,e1,0.9298522946203626
100,24,c1,0.9257835360178173
100,24,s1,0.9130859375
100,25,e0,0.9525761991799634
100,25,c0,0.9842973283900206
100,25,s0,0.791015625
100,25,e1,0.504026083090451
100,25,c1,0.7839473483217367
100,25,s1,0.6611328125
