reflection,trial,propertyType,property
75,1,e0,0.4409600474097486
75,1,c0,0.301484718088274
75,1,s0,0.12984032423458175
75,1,e1,0.8469060200503729
75,1,c1,0.8416625712218603
75,1,s1,0.751941012744763
75,2,e0,0.4281199071559089
75,2,c0,0.46050789347419474
75,2,s0,0.08784608623467943
75,2,e1,0.8804879253296459
75,2,c1,0.8839049523675485
75,2,s1,0.8632745739538064
75,3,e0,0.42021828238431524
75,3,c0,0.3374139627066013
75,3,s0,0.06440744176961766
75,3,e1,0.9585164699491333
75,3,c1,0.9517612553163167
75,3,s1,0.9062454221397529
75,4,e0,0.30564472319620717
75,4,c0,0.06754039641067412
75,4,s0,0.0605010010254407
75,4,e1,0.8320904736036348
75,4,c1,0.8227119140660376
75,4,s1,0.7929586405586211
75,5,e0,0.39552570497308503
75,5,c0,0.3279198925276593
75,5,s0,0.13277015479271448
75,5,e1,0.9960491876142031
75,5,c1,0.9915715414276863
75,5,s1,0.9804677962791152
75,6,e0,0.4152797669020692
75,6,c0,0.3570009418161146
75,6,s0,0.13472337516480296
75,6,e1,0.914069830608919
75,6,c1,0.9156012644327595
75,6,s1,0.8603447433956736
75,7,e0,0.2888537705565707
75,7,c0,0.08477677716820538
75,7,s0,0.027296254699936517
75,7,e1,0.9703689071065238
75,7,c1,0.9778547851896014
75,7,s1,0.8808535573026026
75,8,e0,0.3698454244654057
75,8,c0,0.1267290673486483
75,8,s0,0.053664729723131015
75,8,e1,0.8538199417255173
75,8,c1,0.8427487277746769
75,8,s1,0.796865081302798
75,9,e0,0.41626746999851844
75,9,c0,0.3958975802442191
75,9,s0,0.1210508325601836
75,9,e1,0.8083855992888538
75,9,c1,0.8240208257642608
75,9,s1,0.7744030470237805
75,10,e0,0.40935354832337395
75,10,c0,0.23729183691777492
75,10,s0,0.0849162556765467
75,10,e1,0.5673860437552471
75,10,c1,0.6197631948594781
75,10,s1,0.2860979540016602
75,11,e0,0.3481159563435231
75,11,c0,0.24856294809520946
75,11,s0,0.062454221397529174
75,11,e1,0.9861721566497111
75,11,c1,0.9815977638094926
75,11,s1,0.9775379657209825
75,12,e0,0.37873475233344855
75,12,c0,0.15388200081289763
75,12,s0,0.04487523804873285
75,12,e1,0.8162872240604474
75,12,c1,0.8328891964390436
75,12,s1,0.7314321988378338
75,13,e0,0.35700528421156597
75,13,c0,0.09216327771321318
75,13,s0,0.06440744176961766
75,13,e1,0.9753074225887698
75,13,c1,0.9635025171700315
75,13,s1,0.9208945749304165
75,14,e0,0.33823892537903105
75,14,c0,0.274201147134507
75,14,s0,0.0849162556765467
75,14,e1,0.9456763296952936
75,14,c1,0.9254353821496949
75,14,s1,0.8740172860002929
75,15,e0,0.37873475233344855
75,15,c0,0.18368458155417758
75,15,s0,0.10347184921138727
75,15,e1,0.9693812040100745
75,15,c1,0.9762278985427594
75,15,s1,0.9540993212559207
75,16,e0,0.3895994863943898
75,16,c0,0.2492575171673866
75,16,s0,0.05561795009521949
75,16,e1,0.7491234135019014
75,16,c1,0.8027158233507782
75,16,s1,0.4677474486058889
75,17,e0,0.41626746999851844
75,17,c0,0.3959666135110634
75,17,s0,0.12788710386249327
75,17,e1,0.9703689071065238
75,17,c1,0.9568294221784643
75,17,s1,0.9287074564187705
75,18,e0,0.6661563534001679
75,18,c0,0.7048112751227976
75,18,s0,0.2831681234435275
75,18,e1,0.9753074225887698
75,18,c1,0.9696730461361468
75,18,s1,0.9492162703256996
75,19,e0,0.5298533260901773
75,19,c0,0.5970133172017421
75,19,s0,0.16206846037404168
75,19,e1,0.971356610202973
75,19,c1,0.9610417101617016
75,19,s1,0.9589823721861419
75,20,e0,0.3965134080695343
75,20,c0,0.3318840243897648
75,20,s0,0.09858879828116607
75,20,e1,0.9743197194923207
75,20,c1,0.9673418052589
75,20,s1,0.9355437277210802
75,21,e0,0.9328361894414539
75,21,c0,0.938826005551876
75,21,s0,0.7226427071634357
75,21,e1,0.9772828287816683
75,21,c1,0.9717365822393261
75,21,s1,0.947263049953611
75,22,e0,0.36688231517605807
75,22,c0,0.41475144732000224
75,22,s0,0.10249523902534304
75,22,e1,0.9209837522840634
75,22,c1,0.9339583993340174
75,22,s1,0.8740172860002929
75,23,e0,0.4182428761914168
75,23,c0,0.250414719117622
75,23,s0,0.09761218809512183
75,23,e1,0.8933280655834857
75,23,c1,0.916609372220953
75,23,s1,0.7822159285121344
75,24,e0,0.4547878907600375
75,24,c0,0.32800856671910505
75,24,s0,0.12691049367644902
75,24,e1,0.42120598548076443
75,24,c1,0.15209423043013678
75,24,s1,0.06733727232775037
75,25,e0,0.3589806904044644
75,25,c0,0.2473457999786534
75,25,s0,0.05952439083939645
75,25,e1,0.9841967504568127
75,25,c1,0.9710867475474639
75,25,s1,0.9433566092094341
