bottle,trial,propertyType,property
100,1,e0,0.6052014706245219
100,1,c0,0.6702781611263046
100,1,s0,0.179647443722838
100,1,e1,0.9062353492733239
100,1,c1,0.9812817721050269
100,1,s1,0.772449826651692
100,2,e0,0.35943938608828685
100,2,c0,0.36320901195103983
100,2,s0,0.09663557790907759
100,2,e1,0.9634811360327683
100,2,c1,0.9723014859763041
100,2,s1,0.8554616924654525
100,3,e0,0.2864016581538234
100,3,c0,0.2460063578504486
100,3,s0,0.04389862786268861
100,3,e1,0.7710168529622227
100,3,c1,0.7953171295005922
100,3,s1,0.5702915181405342
100,4,e0,0.4354381029930664
100,4,c0,0.597694107872191
100,4,s0,0.1913667659553689
100,4,e1,0.9812470698546648
100,4,c1,0.9836057761205351
100,4,s1,0.9570291518140535
100,5,e0,0.5104498235744072
100,5,c0,0.3811353467363082
100,5,s0,0.18257727428097073
100,5,e1,0.8894564117748661
100,5,c1,0.9055913432406125
100,5,s1,0.7949118609307095
100,6,e0,0.4541910331384016
100,6,c0,0.6185715673447892
100,6,s0,0.13569998535084718
100,6,e1,0.7335109926715523
100,6,c1,0.8119884440221825
100,6,s1,0.6581864348845159
100,7,e0,0.5262417647494263
100,7,c0,0.4626446561189568
100,7,s0,0.155232189071732
100,7,e1,0.8598465220717053
100,7,c1,0.8753911826386327
100,7,s1,0.5927535524195517
100,8,e0,0.433464110346189
100,8,c0,0.4080523771292735
100,8,s0,0.20015625762976705
100,8,e1,0.8065487206060157
100,8,c1,0.7986617822513873
100,8,s1,0.666975926558914
100,9,e0,0.45912601475559506
100,9,c0,0.39726441081420916
100,9,s0,0.06929049269983886
100,9,e1,0.8292496360451057
100,9,c1,0.8757734319811552
100,9,s1,0.597636603349773
100,10,e0,0.37325733461642857
100,10,c0,0.22801232280954986
100,10,s0,0.062454221397529174
100,10,e1,0.8509635551607571
100,10,c1,0.9061442028575594
100,10,s1,0.715806435861126
100,11,e0,0.35943938608828685
100,11,c0,0.2201547808170755
100,11,s0,0.09663557790907759
100,11,e1,0.9032743603030079
100,11,c1,0.9416275848920723
100,11,s1,0.8310464378143464
100,12,e0,0.562760628716658
100,12,c0,0.7168337134478497
100,12,s0,0.48825626251281795
100,12,e1,0.8509635551607571
100,12,c1,0.9164487355314191
100,12,s1,0.7890521998144441
100,13,e0,0.5213067831322328
100,13,c0,0.517363603775599
100,13,s0,0.21871185116460762
100,13,e1,0.8716904779529696
100,13,c1,0.9279170677864068
100,13,s1,0.8427657600468773
100,14,e0,0.5232807757791103
100,14,c0,0.6891956658893218
100,14,s0,0.40719761707114605
100,14,e1,0.9654551286796457
100,14,c1,0.9750536759086172
100,14,s1,0.8525318619073197
100,15,e0,0.5864485404791867
100,15,c0,0.5313597440933338
100,15,s0,0.39645490502465935
100,15,e1,0.95459816912182
100,15,c1,0.951010586767252
100,15,s1,0.9052688119537087
100,16,e0,0.6792261948824241
100,16,c0,0.7038763080167221
100,16,s0,0.20992235949020946
100,16,e1,0.8410935919263701
100,16,c1,0.8540428050470293
100,16,s1,0.5917769422335075
100,17,e0,0.7354849853184297
100,17,c0,0.7943774643099968
100,17,s0,0.4257532106059866
100,17,e1,0.8213536654575961
100,17,c1,0.8852773031216661
100,17,s1,0.7304555886517896
100,18,e0,0.4176721691711699
100,18,c0,0.45651830956916467
100,18,s0,0.13667659553689143
100,18,e1,0.689096158116811
100,18,c1,0.7559241459304973
100,18,s1,0.5683382977684458
100,19,e0,0.6762652059121079
100,19,c0,0.7975688128554261
100,19,s0,0.27437863176912936
100,19,e1,0.9536111727983814
100,19,c1,0.9486158624556105
100,19,s1,0.8515552517212754
100,20,e0,0.7048880992918302
100,20,c0,0.7389040575159439
100,20,s0,0.10737828995556424
100,20,e1,0.9180793051545882
100,20,c1,0.9113819643338027
100,20,s1,0.8027247424190634
100,21,e0,0.3229205221210551
100,21,c0,0.2620886662305219
100,21,s0,0.04682845842082133
100,21,e1,0.8785994522170405
100,21,c1,0.9454761261383399
100,21,s1,0.7460813516284975
100,22,e0,0.3791793125570608
100,22,c0,0.3137002307843127
100,22,s0,0.09761218809512183
100,22,e1,0.9378192316233622
100,22,c1,0.9186508223986563
100,22,s1,0.6835782997216661
100,23,e0,0.42063315814148594
100,23,c0,0.5475363323093724
100,23,s0,0.04585184823477709
100,23,e1,0.9121573272139561
100,23,c1,0.8982345808272371
100,23,s1,0.800771522046975
100,24,e0,0.6111234485651541
100,24,c0,0.7320535466261814
100,24,s0,0.2304311733971385
100,24,e1,0.8618205147185827
100,24,c1,0.8589193869240392
100,24,s1,0.5829874505591094
100,25,e0,0.39595825005551855
100,25,c0,0.5179196877895335
100,25,s0,0.14253625665315686
100,25,e1,0.7986527500185062
100,25,c1,0.8096592859039412
100,25,s1,0.45407490600126954
